code,region,subregion,latitude,longitude,abs_latitude,population,area_km2,landlocked,independent,un_member,n_languages,n_borders,gini,continent,drive_side
af,Asia,Southern Asia,33.0,65.0,33.0,43844000,652230.0,True,True,True,3.0,6,,Asia,right
al,Europe,Southeast Europe,41.0,20.0,41.0,2363314,28748.0,False,True,True,1.0,4,33.2,Europe,right
dz,Africa,Northern Africa,28.0,3.0,28.0,47400000,2381741.0,False,True,True,1.0,7,27.6,Africa,right
as,Oceania,Polynesia,-14.33333333,-170.0,14.33333333,49710,199.0,False,False,False,2.0,0,,Oceania,right
ad,Europe,Southern Europe,42.5,1.5,42.5,88406,468.0,True,True,True,1.0,2,,Europe,right
ao,Africa,Middle Africa,-12.5,18.5,12.5,36170961,1246700.0,False,True,True,1.0,4,51.3,Africa,right
ai,Americas,Caribbean,18.25,-63.16666666,18.25,16010,91.0,False,False,False,1.0,0,,North America,left
aq,Antarctic,,-90.0,0.0,90.0,1300,14000000.0,False,False,False,,0,,Antarctica,right
ag,Americas,Caribbean,17.05,-61.8,17.05,103603,442.0,False,True,True,1.0,0,,North America,left
ar,Americas,South America,-34.0,-64.0,34.0,46735004,2780400.0,False,True,True,2.0,5,42.9,South America,right
am,Asia,Western Asia,40.0,45.0,40.0,3076200,29743.0,True,True,True,1.0,4,29.9,Asia,right
aw,Americas,Caribbean,12.5,-69.96666666,12.5,107566,180.0,False,False,False,2.0,0,,North America,right
au,Oceania,Australia and New Zealand,-27.0,133.0,27.0,27536874,7692024.0,False,True,True,1.0,0,34.4,Oceania,left
at,Europe,Central Europe,47.33333333,13.33333333,47.33333333,9200931,83871.0,True,True,True,1.0,8,30.8,Europe,right
az,Asia,Western Asia,40.5,47.5,40.5,10241722,86600.0,True,True,True,1.0,5,26.6,Europe,right
bs,Americas,Caribbean,25.0343,-77.3963,25.0343,398165,13943.0,False,True,True,1.0,0,,North America,left
bh,Asia,Western Asia,26.0,50.55,26.0,1594654,765.0,False,True,True,1.0,0,,Asia,right
bd,Asia,Southern Asia,24.0,90.0,24.0,169828911,147570.0,False,True,True,1.0,2,32.4,Asia,left
bb,Americas,Caribbean,13.16666666,-59.53333333,13.16666666,267800,430.0,False,True,True,1.0,0,,North America,left
by,Europe,Eastern Europe,53.0,28.0,53.0,9109280,207600.0,True,True,True,2.0,5,25.3,Europe,right
be,Europe,Western Europe,50.83333333,4.0,50.83333333,11825551,30528.0,False,True,True,3.0,4,27.2,Europe,right
bz,Americas,Central America,17.25,-88.75,17.25,417634,22966.0,False,True,True,3.0,2,53.3,North America,right
bj,Africa,Western Africa,9.5,2.25,9.5,13224860,112622.0,False,True,True,1.0,4,47.8,Africa,right
bm,Americas,North America,32.33333333,-64.75,32.33333333,64055,54.0,False,False,False,1.0,0,,North America,left
bt,Asia,Southern Asia,27.5,90.5,27.5,784043,38394.0,True,True,True,1.0,2,37.4,Asia,left
bo,Americas,South America,-17.0,-65.0,17.0,11365333,1098581.0,True,True,True,4.0,5,41.6,South America,right
ba,Europe,Southeast Europe,44.0,18.0,44.0,3422000,51209.0,False,True,True,3.0,3,33.0,Europe,right
bw,Africa,Southern Africa,-22.0,24.0,22.0,2359609,582000.0,True,True,True,2.0,4,53.3,Africa,left
bv,Antarctic,,-54.4208,3.3464,54.4208,0,49.0,False,False,False,1.0,0,,Antarctica,right
br,Americas,South America,-10.0,-55.0,10.0,213421037,8515767.0,False,True,True,1.0,10,53.4,South America,right
io,Africa,Eastern Africa,-6.0,71.5,6.0,0,60.0,False,False,False,1.0,0,,Asia,right
vg,Americas,Caribbean,18.431383,-64.62305,18.431383,39471,151.0,False,False,False,1.0,0,,North America,left
bn,Asia,South-Eastern Asia,4.5,114.66666666,4.5,455500,5765.0,False,True,True,1.0,1,,Asia,left
bg,Europe,Southeast Europe,43.0,25.0,43.0,6437360,110879.0,False,True,True,1.0,5,41.3,Europe,right
bf,Africa,Western Africa,13.0,-2.0,13.0,24070553,272967.0,True,True,True,1.0,6,35.3,Africa,right
bi,Africa,Eastern Africa,-3.5,30.0,3.5,12332788,27834.0,True,True,True,2.0,3,38.6,Africa,right
kh,Asia,South-Eastern Asia,13.0,105.0,13.0,17577760,181035.0,False,True,True,1.0,3,,Asia,right
cm,Africa,Middle Africa,6.0,12.0,6.0,29442327,475442.0,False,True,True,2.0,6,46.6,Africa,right
ca,Americas,North America,60.0,-95.0,60.0,41651653,9984670.0,False,True,True,2.0,1,33.3,North America,right
cv,Africa,Western Africa,16.5388,-23.0418,16.5388,491233,4033.0,False,True,True,1.0,0,42.4,Africa,right
bq,Americas,Caribbean,12.18,-68.25,12.18,31980,328.0,False,False,False,3.0,0,,North America,right
ky,Americas,Caribbean,19.3133,-81.2546,19.3133,84738,264.0,False,False,False,1.0,0,,North America,left
cf,Africa,Middle Africa,7.0,21.0,7.0,6470307,622984.0,True,True,True,2.0,6,56.2,Africa,right
td,Africa,Middle Africa,15.0,19.0,15.0,19340757,1284000.0,True,True,True,2.0,6,43.3,Africa,right
cl,Americas,South America,-30.0,-71.0,30.0,20206953,756102.0,False,True,True,1.0,3,44.4,South America,right
cn,Asia,Eastern Asia,35.0,105.0,35.0,1408280000,9706961.0,False,True,True,1.0,16,38.5,Asia,right
cx,Oceania,Australia and New Zealand,-10.5,105.66666666,10.5,1692,135.0,False,False,False,1.0,0,,Asia,left
cc,Oceania,Australia and New Zealand,-12.1642,96.871,12.1642,593,14.0,False,False,False,1.0,0,,Asia,left
co,Americas,South America,4.0,-72.0,4.0,53057212,1141748.0,False,True,True,1.0,5,51.3,South America,right
km,Africa,Eastern Africa,-12.16666666,44.25,12.16666666,919901,1862.0,False,True,True,3.0,0,45.3,Africa,right
ck,Oceania,Polynesia,-21.23333333,-159.76666666,21.23333333,15040,236.0,False,False,False,2.0,0,,Oceania,left
cr,Americas,Central America,10.0,-84.0,10.0,5309625,51100.0,False,True,True,1.0,2,48.2,North America,right
hr,Europe,Southeast Europe,45.16666666,15.5,45.16666666,3866233,56594.0,False,True,True,1.0,5,29.7,Europe,right
cu,Americas,Caribbean,21.5,-80.0,21.5,9748007,109884.0,False,True,True,1.0,0,,North America,right
