code,gdp_per_capita,life_expectancy,forest_pct,avg_temp_c,annual_precip_mm,annual_sunshine_hrs
af,357.261152798144,65.617,1.85278199408184,17.3,154,3773
al,7756.96188744253,78.769,28.7919708029197,16.7,1337,3466
dz,4960.30334332888,76.129,0.826286664371426,25.8,12,3859
as,18017.4589383973,72.752,85.35,27.3,3001,3587
ad,42414.0479861228,84.016,34.0425531914894,11.1,763,3589
ao,3682.1131513698,64.246,52.5364972326943,20.3,1009,3479
ai,,,,27.1,815,3940
aq,,,,-43.7,25,3599
ag,20105.1989085164,77.483,18.1615909090909,27.0,776,3938
ar,13962.1894087223,75.806,10.3610566048767,17.9,715,3317
am,6571.97445545099,74.7658536585366,11.6336717932132,7.7,793,3636
aw,30975.9989121779,76.226,2.33333333333333,27.9,410,3994
au,65169.5191118657,83.2,17.4213145571644,22.5,229,3782
at,52336.7725223758,81.2951219512195,47.206131846825,5.6,1764,2781
az,7770.594223351,74.125,13.9724815486993,17.1,577,3229
bs,34957.1613279737,74.491,50.9350649350649,26.3,964,3715
bh,30470.5219276023,80.992,0.936708860759494,28.1,147,3706
bd,2716.48592780431,74.265,14.458774758176,25.5,1690,3367
bb,24387.0387293761,75.676,14.6511627906977,25.5,1006,3817
by,7994.64806074889,74.1033658536585,43.3351396620523,9.1,808,2582
be,50605.7496677086,81.7487804878049,22.604446776415,11.9,1032,2562
bz,7068.21728043145,72.19,55.0078912757563,26.0,1708,3582
bj,1266.42711031904,60.475,26.9169031571479,26.7,833,3324
bm,121613.939983629,82.062,18.5185185185185,22.4,1827,3283
bt,3711.32767981591,72.754,71.5521761929733,13.9,3712,3365
bo,4219.46113742445,67.434,46.5396883596418,12.5,3811,3010
ba,7655.59421024383,76.777,42.7326171875,11.4,1313,3064
bw,8328.7090572666,68.749,26.4995676953752,23.2,294,3912
bv,,,,-3.6,1061,1229
br,9281.33282136864,74.872,59.1275092305226,25.5,1554,3405
io,,,,27.2,2407,3621
vg,,77.177,24.1333333333333,26.7,868,3927
bn,36632.9280952155,72.917,72.1062618595825,26.0,3895,3065
bg,13999.1949530956,74.1609756097561,36.0998526160649,12.5,743,3160
bf,827.330843486661,60.7,22.3552631578947,28.7,647,3661
bi,302.992505263552,62.882,10.8894080996885,19.2,1303,3711
kh,2325.03050040841,70.528,43.9439723544074,27.2,2577,3449
cm,1604.87726954895,62.443,42.7925789596158,23.5,1406,3373
ca,56256.8007264015,81.2453658536585,39.4659199995449,-4.5,390,2612
cv,4323.31362032709,75.907,11.4937965260546,24.6,154,3810
bq,,,,27.5,654,3946
ky,93030.7051447803,79.984,52.6666666666667,28.0,1050,3838
cf,467.359825026238,18.818,35.7041959613471,26.4,839,3451
td,966.036468278568,54.528,3.24924110546379,30.2,95,3757
cl,15405.6165774073,79.176,24.8461772576085,11.3,16,3899
cn,12970.6056414327,78.202,23.8316995465589,7.7,709,2813
cx,,,,25.0,922,3882
cc,,,,26.3,1204,3857
co,6680.44506854481,76.508,52.9457763857593,26.3,2114,3525
km,1465.479642862,66.481,17.2165502418055,26.9,617,3994
ck,,,,22.5,1550,3378
cr,13625.9008491328,79.316,60.0785350567959,18.5,4070,3058
hr,18465.5414420364,77.5756097560976,34.7410650464618,12.8,1324,3015
cu,,77.629,31.233140655106,27.2,850,3884
cw,20057.1404747175,76.729,0.157657657657658,28.2,555,3964
cy,33231.04296875,80.434,18.6677489177489,17.6,387,3811
cz,28282.2236715857,78.9292682926829,34.7369431785448,9.7,876,2716
cd,687.738587554685,60.979,54.6754592973247,24.8,1041,3210
dk,67781.0940939514,81.3048780487805,15.758,9.1,1073,2660
dj,3133.25779772463,65.54,0.257308024158758,29.8,386,3791
dm,9323.66089490562,71.081,63.8266666666667,23.1,1630,3732
do,10104.2449349081,74.211,44.8209283285911,17.5,1060,3731
ec,6515.58528418336,76.577,49.8038734095668,25.5,2627,3235
eg,4233.30783744856,71.01,0.0451855944547692,23.0,2,3932
sv,5074.60210221806,71.969,27.7451737451737,24.5,1407,3817
gq,7589.29964909381,63.355,86.6916221033868,24.2,3554,2738
er,,67.789,8.65617743125414,19.5,328,3888
ee,28340.3826549406,77.8439024390244,57.0652937046572,6.6,768,2550
sz,3894.1620089869,63.028,29.0686046511628,20.4,898,3334
et,982.103161506992,66.897,14.9955852855138,13.5,2400,3567
fk,,,,6.5,690,2565
fo,67058.2022648126,82.9439024390244,0.0583941605839416,6.7,1648,1489
fj,5414.12092119088,67.148,63.1297208538588,22.4,2720,2760
fi,50440.560224974,81.1878048780488,73.7264996576714,3.6,777,2307
fr,40988.6396406579,82.1292682926829,32.32173671027,11.6,1011,2772
gf,,,,25.2,3293,3031
pf,20053.9569369322,83.859,43.0596369922213,18.5,4734,3079
tf,,,,2.0,4082,1220
ga,8409.2074145028,67.713,91.228470524314,22.5,2798,3056
gm,836.244875868476,64.859,22.8459584980237,26.6,702,3653
ge,6729.84659930283,74.141,40.6159159591308,9.1,1378,2965
de,50506.5179638543,80.6080487804878,32.685482024273,9.9,1003,2512
gh,2229.89122647803,65.246,35.1604431005612,26.6,1512,3295
gi,,83.517,0.0,18.1,450,3638
gr,20886.5243087629,80.7878048780488,30.2699767261443,14.0,1263,3349
gl,55635.0006491223,71.5404878048781,0.000535997076379583,-26.5,282,2581
gd,10469.3867012856,75.151,52.0588235294118,26.1,1189,3900
gp,,,,26.1,1208,3848
gu,41833.1517132825,77.102,51.8518518518518,26.9,3482,3437
gt,5358.70156997677,71.206,32.7043673012318,18.5,2260,3280
gg,,,,12.7,1097,2886
gn,1416.59612011764,60.432,24.8616311248576,26.2,1012,3570
gw,883.199131457831,63.605,69.8125889046942,27.5,1199,3401
gy,17913.4928066879,69.888,87.1314345931609,25.8,2440,3594
ht,1760.62635668777,63.948,12.3759071117562,26.8,932,3845
hm,,,,-13.5,4046,1466
hn,3003.28996826399,72.715,56.4604522298686,21.9,1350,3725
hk,48825.8441873536,83.6609756097561,,23.0,2054,3008
hu,18428.028825614,75.8682926829268,22.4643754109139,13.1,770,3047
is,76350.4550416502,82.119512195122,0.522265198849549,-1.5,893,1610
in,2347.44829434623,71.698,24.4494970049005,25.9,867,3614
id,4730.83484836107,70.925,48.0419900717626,27.3,1129,3605
ir,4721.20437099984,76.799,6.64160246533128,19.0,141,3799
iq,6520.73154560584,72.037,1.90035242899592,25.1,122,3684
ie,105190.685952731,82.509756097561,11.4678472927856,11.0,1328,2265
im,88328.548125887,80.956,6.07017543859649,8.7,1659,2632
il,54949.621556429,82.7,6.46950092421442,18.7,213,3788
it,35653.9042103495,82.7,32.7125321249831,13.0,1076,3405
ci,2333.37128301259,61.562,8.21049968553459,26.2,1339,3283
jm,6626.47502388538,71.481,55.8320498614958,21.7,1114,3792
jp,34065.6438962526,83.9963414634146,68.4087791495199,11.5,1297,3173
je,,,,13.1,1177,2909
jo,4332.25159897931,77.088,1.09804716534901,18.5,99,3850
kz,11255.3396437881,73.503,1.3013145534689,8.3,266,3167
ke,2109.56288513137,63.549,6.21662477880402,26.7,693,3858
ki,2069.7671726925,66.269,1.45679012345679,27.8,3600,3506
xk,5290.95006509706,77.623,,11.8,762,3235
kw,39981.7691035833,80.5878048780488,0.350729517396184,25.5,177,3660
kg,1739.72018344174,72.0487804878049,7.04827945776851,-0.7,851,3670
