Artist,Song,Decade,Year,Genres,Popularity,Duration (min),Explicit,Polarity,Subjectivity,Total Words,Lexical Richness (%),Words per Minute,Problem_Type
Elvis Presley,Jailhouse Rock,1950s,1958,"rockabilly, rock and roll",67,2.49,False,0.134,0.457,301,42.52,121.02,
Harry Belafonte,Banana Boat (Day-O),1950s,1956,calypso,70,3.16,False,-0.151,0.202,299,13.04,94.69,
Big Mama Thornton,Hound Dog,1950s,1989,"blues, classic blues, soul blues",55,3.02,False,-0.02,0.368,281,30.25,93.15,
The Chords,Sh-Boom,1950s,1954,doo-wop,43,2.46,False,0.212,0.618,327,23.24,133.18,
Peggy Lee,Fever,1950s,1988,"vocal jazz, swing music, big band, jazz",56,3.36,False,0.148,0.537,287,44.95,85.53,
Ritchie Valens,We Belong Together,1950s,1959,"doo-wop, rock and roll",71,1.94,False,0.3,1.0,64,40.62,32.93,
Paul Anka,Put Your Head on My Shoulder,1950s,1966,adult standards,59,2.58,False,0.256,0.462,143,41.96,55.33,
Chuck Berry,Johnny B. Goode,1950s,1959,"rockabilly, rock and roll",75,2.69,False,0.017,0.317,228,47.81,84.67,
The Flamingos,I Only Have Eyes for You,1950s,1959,doo-wop,73,3.38,False,0.218,0.79,196,32.65,58.0,
Chet Baker,I Fall In Love Too Easily,1950s,1956,"jazz, cool jazz, vocal jazz",69,3.36,False,0.284,0.567,78,34.62,23.23,
Thurston Harris,Little Bitty Pretty One,1950s,1959,doo-wop,51,2.38,False,-0.019,0.609,90,36.67,37.74,
The Chordettes,Mister Sandman,1950s,2012,doo-wop,42,2.4,False,0.386,0.843,184,40.22,76.67,
Elvis Presley,Heartbreak Hotel,1950s,1958,"rockabilly, rock and roll",57,2.17,False,-0.091,0.546,235,33.62,108.21,
The Isley Brothers,"Shout, Pts. 1 & 2",1950s,1959,"motown, quiet storm, soul, classic soul, funk, northern soul",60,4.53,False,0.124,0.503,631,17.91,139.2,
Billie Holiday,I'll Be Seeing You,1950s,1957,"jazz, vocal jazz, jazz blues, big band",71,3.53,False,0.285,0.552,146,34.93,41.41,
Ray Charles,I've Got a Woman,1950s,1957,"jazz blues, soul, soul blues, blues, classic soul, vocal jazz",70,2.86,False,0.467,0.562,244,29.1,85.38,
Louis Armstrong,Dream A Little Dream Of Me,1950s,1968,"jazz, swing music, big band, vocal jazz, jazz blues",69,3.28,False,0.037,0.517,166,42.77,50.6,
Elvis Presley,Hound Dog,1950s,1958,"rockabilly, rock and roll",68,2.32,False,0.0,0.0,248,12.9,107.09,
Ricky Nelson,Lonesome Town - 1990 Digital Remaster,1950s,1990,"rockabilly, doo-wop",50,2.26,False,-0.097,0.443,105,51.43,46.46,
The Poni-Tails,Born Too Late,1950s,1958,doo-wop,56,2.32,False,-0.121,0.567,136,36.76,58.7,
Ritchie Valens,Donna - Single Version,1950s,1959,"doo-wop, rock and roll",61,2.52,False,0.222,0.294,135,34.81,53.57,
Elvis Presley,Blue Suede Shoes,1950s,1956,"rockabilly, rock and roll",66,2.04,False,0.014,0.144,244,27.87,119.87,
Jerry Lee Lewis,Great Balls Of Fire,1950s,1961,"rockabilly, rock and roll, boogie-woogie",67,1.86,False,0.381,0.64,202,39.6,108.67,
Frank Sinatra,I've Got You Under My Skin - Remastered 1998,1950s,1956,"christmas, big band, adult standards, swing music, jazz, vocal jazz",70,3.73,False,0.181,0.4,235,36.17,63.0,
Connie Francis,Stupid Cupid,1950s,2005,schlager,52,2.23,False,-0.308,0.793,267,35.58,119.78,
Elvis Presley,Don't Be Cruel,1950s,1958,"rockabilly, rock and roll",55,2.09,False,-0.065,0.638,222,35.59,106.02,
Bobby Darin,Beyond the Sea,1950s,1959,"big band, adult standards, swing music, doo-wop",72,2.87,False,0.316,0.664,156,44.87,54.27,
Billie Holiday,Blue Moon,1950s,1956,"jazz, vocal jazz, jazz blues, big band",68,3.46,False,0.229,0.5,189,29.63,54.56,
Ritchie Valens,La Bamba - Single Version,1950s,1959,"doo-wop, rock and roll",66,2.12,False,0.0,0.0,130,18.46,61.32,
Chet Baker,My Funny Valentine,1950s,1956,"jazz, cool jazz, vocal jazz",66,2.35,False,0.034,0.545,71,70.42,30.18,
The Crew Cuts,Sh-Boom (Life Could Be a Dream),1950s,1953,doo-wop,52,2.82,False,0.252,0.657,342,21.93,121.46,
Bobby Vinton,Mr. Lonely,1950s,2004,"doo-wop, adult standards",55,2.69,False,0.019,0.644,124,40.32,46.1,
Ella Fitzgerald,Cheek To Cheek,1950s,1956,"vocal jazz, jazz, swing music, jazz blues, big band, christmas",65,5.89,False,0.216,0.392,238,30.67,40.42,
Frank Sinatra,Come Fly With Me - Remastered 1998,1950s,1958,"christmas, big band, adult standards, swing music, jazz, vocal jazz",68,3.32,False,0.536,0.751,238,34.03,71.69,
Ray Charles,"Hallelujah, I Love Her So",1950s,1957,"jazz blues, soul, soul blues, blues, classic soul, vocal jazz",65,2.59,False,0.154,0.446,275,34.55,106.11,
The Chordettes,Lollipop,1950s,2012,doo-wop,40,2.15,False,0.017,0.637,196,34.69,91.16,
Dinah Washington,What A Diff'rence A Day Made,1950s,1959,"vocal jazz, jazz, jazz blues",67,2.53,False,-0.007,0.48,95,68.42,37.53,
Dean Martin,That's Amore,1950s,1989,"christmas, adult standards, big band, swing music",53,3.14,False,0.185,0.336,246,32.52,78.4,
Frank Sinatra,My Funny Valentine,1950s,1954,"christmas, big band, adult standards, swing music, jazz, vocal jazz",61,2.51,False,-0.013,0.496,116,43.1,46.19,
The Five Satins,In The Still of the Night,1950s,1993,doo-wop,55,3.13,False,0.369,0.598,138,31.88,44.12,
Sarah Vaughan,Misty,1950s,1958,"vocal jazz, jazz",59,3.04,False,0.298,0.454,142,57.75,46.65,
