Decade,Year,Song,Artist,Genres,Popularity,Duration (min),Explicit,Polarity,Subjectivity,Total Words,Lexical Richness (%),Words per Minute,Problem_Type
1950s,2012,Mister Sandman,The Chordettes,doo-wop,42,2.4,False,0.386,0.843,184,40.22,76.67,Missing Lyrics Only
1950s,1990,Lonesome Town - 1990 Digital Remaster,Ricky Nelson,"rockabilly, doo-wop",50,2.26,False,-0.097,0.443,105,51.43,46.46,Missing Lyrics Only
1950s,1959,Donna - Single Version,Ritchie Valens,"doo-wop, rock and roll",61,2.52,False,0.222,0.294,135,34.81,53.57,Missing Lyrics Only
1950s,2000,Tequila (Original),The Champs,doo-wop,51,2.17,False,0.0,0.0,3,33.33,1.38,Missing Lyrics Only
1950s,1956,I've Got You Under My Skin - Remastered 1998,Frank Sinatra,"christmas, big band, adult standards, swing music, jazz, vocal jazz",70,3.73,False,0.181,0.4,235,36.17,63.0,Missing Lyrics Only
1950s,1959,La Bamba - Single Version,Ritchie Valens,"doo-wop, rock and roll",66,2.12,False,0.0,0.0,130,18.46,61.32,Missing Lyrics Only
1950s,1958,Come Fly With Me - Remastered 1998,Frank Sinatra,"christmas, big band, adult standards, swing music, jazz, vocal jazz",68,3.32,False,0.536,0.751,238,34.03,71.69,Missing Lyrics Only
1950s,1955,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,"rockabilly, rock and roll, doo-wop",64,2.16,False,0.18,0.391,269,25.65,124.54,Missing Lyrics Only
1950s,2013,Venus - Bonus Track,Frankie Avalon,doo-wop,34,2.37,False,0.374,0.615,170,41.18,71.73,Missing Lyrics Only
1950s,1975,Catch a Falling Star (with Mitchell Ayres and His Orchestra & The Ray Charles Singers),Perry Como,"christmas, adult standards",57,2.5,False,0.478,0.678,242,22.73,96.8,Missing Lyrics Only
1950s,1958,Volare (Nel Blu Di Pinto Di Blu) - Remastered 1998,Dean Martin,"christmas, adult standards, big band, swing music",67,3.03,False,0.425,0.694,189,59.26,62.38,Missing Lyrics Only
1950s,1958,You Send Me - Mono,Sam Cooke,"motown, soul, classic soul",60,2.76,False,0.421,0.712,209,19.14,75.72,Missing Lyrics Only
1950s,1957,Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),Doris Day,"adult standards, big band",59,3.72,False,0.058,0.526,154,41.56,41.4,Missing Lyrics Only
1950s,1956,You Make Me Feel So Young - Remastered 1998,Frank Sinatra,"christmas, big band, adult standards, swing music, jazz, vocal jazz",68,2.96,False,0.247,0.516,263,25.1,88.85,Missing Lyrics Only
1950s,1956,Love Is Here To Stay - Remastered 1998,Frank Sinatra,"christmas, big band, adult standards, swing music, jazz, vocal jazz",63,2.71,False,0.225,0.592,144,34.72,53.14,Missing Lyrics Only
1950s,1956,I Walk The Line - Single Version,Johnny Cash,"classic country, outlaw country, country",43,2.72,False,0.25,0.521,191,40.84,70.22,Missing Lyrics Only
1950s,1991,Buona Sera - Remastered 1991,Louis Prima,"swing music, big band",48,3.12,False,0.046,0.415,225,26.22,72.12,Missing Lyrics Only
1950s,2004,Wonderful! Wonderful! (with Ray Conniff & His Orchestra & Chorus) - Single Version,Johnny Mathis,christmas,39,2.83,False,0.656,0.783,182,48.9,64.31,Missing Lyrics Only
1950s,1962,I Can't Stop Loving You - 2024 Remaster,Ray Charles,"jazz blues, soul, soul blues, blues, classic soul, vocal jazz",63,4.27,False,0.09,0.506,235,25.96,55.04,Missing Lyrics Only
1960s,1964,Walk on By,Dionne Warwick,,67,2.97,False,0.008,0.205,279,22.58,93.87,Missing Genre Only
1960s,1963,You Don't Own Me,Lesley Gore,,70,2.5,False,0.338,0.643,230,26.09,92.0,Missing Genre Only
1960s,1966,California Dreamin' - Single Version,The Mamas & The Papas,folk rock,79,2.71,False,0.126,0.592,227,26.87,83.76,Missing Lyrics Only
1960s,1967,Happy Together,The Turtles,,76,2.94,False,0.491,0.823,282,25.18,95.98,Missing Genre Only
1960s,1962,Stand By Me,Ben E. King,,79,2.92,False,-0.156,0.613,163,33.13,55.73,Missing Genre Only
1960s,1967,Can't Take My Eyes off You,Frankie Valli,,80,3.39,False,0.291,0.587,290,28.97,85.43,Missing Genre Only
1960s,1987,These Boots Are Made for Walkin',Nancy Sinatra,,53,2.71,False,0.426,0.501,197,41.62,72.58,Missing Genre Only
1960s,1969,Here Comes The Sun - Remastered 2009,The Beatles,"classic rock, psychedelic rock",83,3.1,False,-0.148,0.499,166,21.69,53.55,Missing Lyrics Only
1960s,1966,Wouldn't It Be Nice - Mono,The Beach Boys,baroque pop,47,2.43,False,0.274,0.613,218,44.95,89.71,Missing Lyrics Only
1960s,1973,Hey Jude - Remastered 2009,The Beatles,"classic rock, psychedelic rock",58,7.19,False,0.054,0.631,362,27.62,50.35,Missing Lyrics Only
1960s,1962,Fly Me To The Moon (In Other Words),Frank Sinatra,"christmas, big band, adult standards, swing music, jazz, vocal jazz",74,2.45,False,0.109,0.487,103,42.72,42.04,Missing Lyrics Only
1960s,1968,Blackbird - Remastered 2009,The Beatles,"classic rock, psychedelic rock",78,2.31,False,0.172,0.707,124,29.03,53.68,Missing Lyrics Only
1960s,1990,Unchained Melody,The Righteous Brothers,,63,3.6,False,0.174,0.532,124,35.48,34.4,Missing Genre Only
1960s,1969,Sweet Caroline,Neil Diamond,,77,3.39,False,0.466,0.641,150,50.0,44.21,Missing Genre Only
1960s,2021,Bang Bang,Nancy Sinatra,,67,2.69,False,-0.401,0.678,337,64.39,125.29,Missing Genre Only
1960s,1963,Twist And Shout - Remastered 2009,The Beatles,"classic rock, psychedelic rock",75,2.59,False,0.112,0.514,292,14.38,112.74,Missing Lyrics Only
1960s,1994,The End of the World,Skeeter Davis,,66,2.63,False,0.3,0.385,164,38.41,62.45,Missing Genre Only
1960s,1965,It's Not Unusual,Tom Jones,,71,2.0,False,0.038,0.833,153,43.79,76.63,Missing Genre Only
1960s,1963,You'll Never Walk Alone - Stereo; 1997 Remaster,Gerry & The Pacemakers,,55,2.74,False,0.012,0.598,95,45.26,34.67,Both Missing
1960s,1967,Build Me Up Buttercup - Mono,The Foundations,,75,3.0,False,-0.071,0.547,431,20.42,143.67,Both Missing
1960s,1968,Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,"classic rock, rock",74,6.3,False,-0.01,0.537,486,33.33,77.14,Missing Lyrics Only
1960s,1968,Spooky,Dusty Springfield,,71,2.74,False,-0.002,0.61,199,50.75,72.73,Missing Genre Only
1960s,1971,(I Can't Get No) Satisfaction - Mono,The Rolling Stones,"classic rock, rock",53,3.71,False,0.089,0.247,295,25.76,79.51,Missing Lyrics Only
1960s,1966,I Got You (I Feel Good),James Brown & The Famous Flames,,69,2.76,False,0.561,0.813,201,18.41,72.74,Missing Genre Only
1960s,1968,Time of the Season - Mono Remastered,The Zombies,"baroque pop, psychedelic rock",70,3.51,False,0.279,0.626,182,29.67,51.85,Missing Lyrics Only
1960s,1963,It's My Party,Lesley Gore,,63,2.33,False,0.1,0.075,261,27.2,111.86,Missing Genre Only
1960s,1969,Whole Lotta Love - 1990 Remaster,Led Zeppelin,"classic rock, rock, hard rock, rock and roll",77,5.56,False,0.346,0.496,303,20.46,54.5,Missing Lyrics Only
1960s,1967,Brown Eyed Girl,Van Morrison,,78,3.11,False,-0.088,0.394,200,50.0,64.32,Missing Genre Only
1960s,2007,Black Magic Woman,Santana,,62,3.26,False,0.055,0.557,127,38.58,38.9,Missing Genre Only
1960s,2000,Puppy Love - Remix,Paul Anka,adult standards,41,2.73,False,0.281,0.431,167,41.92,61.17,Missing Lyrics Only
1960s,1968,Born To Be Wild - Single Version,Steppenwolf,"classic rock, acid rock",75,3.55,False,0.209,0.506,190,36.84,53.52,Missing Lyrics Only
1960s,1968,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,"folk rock, folk",74,4.12,False,0.175,0.5,298,36.91,72.33,Missing Lyrics Only
1960s,1967,Beggin',The Four Seasons,,54,2.84,False,0.236,0.668,230,41.74,80.88,Missing Genre Only
1960s,2017,"B-A-B-Y (From ""Baby Driver"")",Carla Thomas,"soul, classic soul, motown, northern soul",32,2.89,False,0.248,0.618,222,30.18,76.82,Missing Lyrics Only
1960s,1969,Sugar Sugar,The Archies,,64,2.79,False,0.121,0.604,238,24.37,85.4,Missing Genre Only
1960s,1964,Don't Worry Baby - Remastered 2001,The Beach Boys,baroque pop,65,2.83,False,0.114,0.56,250,35.6,88.34,Missing Lyrics Only
1960s,1960,I Just Want To Make Love To You - Single Version,Etta James,"soul, jazz blues, soul blues, blues, vocal jazz",64,3.09,False,0.304,0.597,267,23.22,86.41,Missing Lyrics Only
1970s,1979,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,,82,4.88,False,-0.026,0.501,313,27.16,64.18,Missing Genre Only
1970s,1975,Born to Run,Bruce Springsteen,,73,4.5,False,0.053,0.374,367,51.77,81.58,Missing Genre Only
1970s,1979,Voulez-Vous,ABBA,,72,5.15,False,0.082,0.365,369,23.85,71.61,Missing Genre Only
1970s,1972,Alone Again (Naturally),Gilbert O'Sullivan,,72,3.69,False,0.075,0.467,292,59.59,79.14,Missing Genre Only
1970s,1975,Mamma Mia,ABBA,,79,3.55,False,0.039,0.413,334,32.04,93.97,Missing Genre Only
1970s,1976,Young Hearts Run Free,Candi Staton,,71,4.14,False,0.311,0.573,422,27.49,101.95,Missing Genre Only
1970s,2006,Heart Of Glass,Blondie,,66,4.2,False,0.168,0.623,210,40.48,49.96,Missing Genre Only
1970s,1979,Rock with You - Single Version,Michael Jackson,,82,3.67,False,0.233,0.578,279,29.03,76.12,Missing Genre Only
1970s,1978,Hopelessly Devoted To You - From “Grease”,Olivia Newton-John,,77,3.09,False,0.229,0.479,163,39.88,52.75,Both Missing
1970s,1979,Boogie Wonderland (with The Emotions),"Earth, Wind & Fire","funk, disco",80,4.81,False,0.22,0.684,470,18.94,97.71,Missing Lyrics Only
1970s,1972,Starman - 2012 Remaster,David Bowie,"glam rock, art rock",80,4.24,False,0.196,0.461,389,30.85,91.75,Missing Lyrics Only
1970s,1977,Dreams - 2004 Remaster,Fleetwood Mac,"classic rock, yacht rock, soft rock",89,4.3,False,0.077,0.766,267,31.84,62.09,Missing Lyrics Only
