Decade,Year,Song,Artist,Genres,Popularity,Duration (min),Explicit,Polarity,Subjectivity,Total Words,Lexical Richness (%),Words per Minute
1950s,1958,Jailhouse Rock,Elvis Presley,"rockabilly, rock and roll",67,2.49,False,0.134,0.457,301,42.52,121.02
1950s,1956,Banana Boat (Day-O),Harry Belafonte,calypso,70,3.16,False,-0.151,0.202,299,13.04,94.69
1950s,1989,Hound Dog,Big Mama Thornton,"blues, classic blues, soul blues",55,3.02,False,-0.02,0.368,281,30.25,93.15
1950s,1954,Sh-Boom,The Chords,doo-wop,43,2.46,False,0.212,0.618,327,23.24,133.18
1950s,1988,Fever,Peggy Lee,"vocal jazz, swing music, big band, jazz",56,3.36,False,0.148,0.537,287,44.95,85.53
1950s,1959,We Belong Together,Ritchie Valens,"doo-wop, rock and roll",71,1.94,False,0.3,1.0,64,40.62,32.93
1950s,1966,Put Your Head on My Shoulder,Paul Anka,adult standards,59,2.58,False,0.256,0.462,143,41.96,55.33
1950s,1959,Johnny B. Goode,Chuck Berry,"rockabilly, rock and roll",75,2.69,False,0.017,0.317,228,47.81,84.67
1950s,1959,I Only Have Eyes for You,The Flamingos,doo-wop,73,3.38,False,0.218,0.79,196,32.65,58.0
1950s,1956,I Fall In Love Too Easily,Chet Baker,"jazz, cool jazz, vocal jazz",69,3.36,False,0.284,0.567,78,34.62,23.23
1950s,1959,Little Bitty Pretty One,Thurston Harris,doo-wop,51,2.38,False,-0.019,0.609,90,36.67,37.74
1950s,2012,Mister Sandman,The Chordettes,doo-wop,42,2.4,False,0.0,0.0,0,0.0,0.0
1950s,1958,Heartbreak Hotel,Elvis Presley,"rockabilly, rock and roll",57,2.17,False,-0.091,0.546,235,33.62,108.21
1950s,1959,"Shout, Pts. 1 & 2",The Isley Brothers,"motown, quiet storm, soul, classic soul, funk, northern soul",60,4.53,False,0.124,0.503,631,17.91,139.2
1950s,1957,I'll Be Seeing You,Billie Holiday,"jazz, vocal jazz, jazz blues, big band",71,3.53,False,0.285,0.552,146,34.93,41.41
1950s,1957,I've Got a Woman,Ray Charles,"jazz blues, soul, soul blues, blues, classic soul, vocal jazz",70,2.86,False,0.467,0.562,244,29.1,85.38
1950s,1968,Dream A Little Dream Of Me,Louis Armstrong,"jazz, swing music, big band, vocal jazz, jazz blues",69,3.28,False,0.037,0.517,166,42.77,50.6
1950s,1958,Hound Dog,Elvis Presley,"rockabilly, rock and roll",68,2.32,False,0.0,0.0,248,12.9,107.09
1950s,1956,Love Is Strange,Mickey Baker,,52,2.88,False,0.0,0.0,0,0.0,0.0
1950s,1990,Lonesome Town - 1990 Digital Remaster,Ricky Nelson,"rockabilly, doo-wop",50,2.26,False,0.0,0.0,0,0.0,0.0
1950s,1958,Born Too Late,The Poni-Tails,doo-wop,56,2.32,False,-0.121,0.567,136,36.76,58.7
1950s,1959,Donna - Single Version,Ritchie Valens,"doo-wop, rock and roll",61,2.52,False,0.0,0.0,0,0.0,0.0
1950s,1956,Blue Suede Shoes,Elvis Presley,"rockabilly, rock and roll",66,2.04,False,0.014,0.144,244,27.87,119.87
1950s,1961,Great Balls Of Fire,Jerry Lee Lewis,"rockabilly, rock and roll, boogie-woogie",67,1.86,False,0.381,0.64,202,39.6,108.67
1950s,2000,Tequila (Original),The Champs,doo-wop,51,2.17,False,0.0,0.0,0,0.0,0.0
1950s,1956,I've Got You Under My Skin - Remastered 1998,Frank Sinatra,"christmas, big band, adult standards, swing music, jazz, vocal jazz",70,3.73,False,0.0,0.0,0,0.0,0.0
